	name	rating	reviews	company_type	Head_Quarters	Company_Age	No_of_Employee
769	Infosys BPM	4.0	(5.5k Reviews)	Bangalore/Bengaluru,Karnataka + 45 more	20 years old	10k-50k Employees (India)	
770	BYJU'S	3.6	(9.8k Reviews)	Private	Bangalore,Karnataka + 161 more	11 years old	1k-5k Employees (India)
771	HSBC	4.1	(5.6k Reviews)	Private	Pune,Maharashtra + 53 more	20 years old	10k-50k Employees (India)
772	Ericsson	4.3	(5.3k Reviews)	Private	Stockholm,Stockholm County + 130 more	146 years old	10k-50k Employees (India)
773	Bajaj Finserv	4.1	(4.9k Reviews)	Public	Pune,Maharashtra + 638 more	15 years old	10k-50k Employees (India)
774	Conneqt Business...	3.8	(4.8k Reviews)	Private	Mumbai,Maharashtra + 151 more	20 years old	10k-50k Employees (India)
775	IDFC FIRST Bank	4.0	(4.8k Reviews)	Public	Mumbai,Maharashtra + 362 more	4 years old	10k-50k Employees (India)
776	Dr. Reddy's	4.2	(4.8k Reviews)	Public	Hyderabad/Secunderabad,Telangana + 128 more	36 years old	10k-50k Employees (India)
777	Startek	3.5	(4.6k Reviews)	Public	Mumbai,Maharashtra + 50 more	5 years old	5k-10k Employees (India)
778	Mphasis	3.8	(4.6k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 41 more	24 years old	10k-50k Employees (India)
779	Sutherland Globa...	3.9	(4.9k Reviews)	Private	Pittsford,New York + 41 more	36 years old	10k-50k Employees (India)
780	Jana Small Finan...	3.9	(4.5k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 303 more	16 years old	10k-50k Employees (India)
781	Cipla Pharmaceut...	4.1	(4.6k Reviews)	Public	Mumbai,Maharashtra + 185 more	87 years old	10k-50k Employees (India)
782	Yes Bank	4.0	(4.4k Reviews)	Public	Mumbai,Maharashtra + 353 more	18 years old	10k-50k Employees (India)
783	ICICI Prudential...	4.1	(4.3k Reviews)	Public	Mumbai,Maharashtra + 398 more	22 years old	10k-50k Employees (India)
784	Asian Paints	4.3	(4.5k Reviews)	Public	Mumbai,Maharashtra + 331 more	80 years old	10k-50k Employees (India)
785	HCL Group	3.9	(22.6k Reviews)	Chennai + 69 more	50k-1 Lakh Employees (India)		
786	NTT DATA	4.0	(4.5k Reviews)	Private	Chiyoda City,Tokyo + 38 more	34 years old	10k-50k Employees (India)
787	Zydus Cadila	4.1	(5.3k Reviews)	Public	Ahmedabad, India + 134 more	70 years old	5k-10k Employees (India)
788	Udaan	4.2	(4k Reviews)	Private	Bangalore,Karnataka + 295 more	6 years old	1k-5k Employees (India)
789	Indian Army	4.7	(4k Reviews)	Public	New Delhi,Delhi + 264 more	127 years old	1 Lakh+ Employees (India)
790	DXC Technology	3.9	(6.8k Reviews)	Public	Minato,Tokyo + 55 more	5 years old	10k-50k Employees (India)
791	Hinduja Global S...	4.0	(5.9k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 74 more	22 years old	10k-50k Employees (India)
792	Ernst & Young	3.9	(7k Reviews)	Private	London + 70 more	20 years old	50k-1 Lakh Employees (India)
793	Maruti Suzuki	4.1	(5.6k Reviews)	Public	New Delhi,Delhi + 373 more	39 years old	10k-50k Employees (India)
794	Infosys BPM	4.0	(5.5k Reviews)	Bangalore/Bengaluru,Karnataka + 45 more	20 years old	10k-50k Employees (India)	
795	BYJU'S	3.6	(9.8k Reviews)	Private	Bangalore,Karnataka + 161 more	11 years old	1k-5k Employees (India)
796	HSBC	4.1	(5.6k Reviews)	Private	Pune,Maharashtra + 53 more	20 years old	10k-50k Employees (India)
797	Ericsson	4.3	(5.3k Reviews)	Private	Stockholm,Stockholm County + 130 more	146 years old	10k-50k Employees (India)
798	Bajaj Finserv	4.1	(4.9k Reviews)	Public	Pune,Maharashtra + 638 more	15 years old	10k-50k Employees (India)
799	Conneqt Business...	3.8	(4.8k Reviews)	Private	Mumbai,Maharashtra + 151 more	20 years old	10k-50k Employees (India)
800	IDFC FIRST Bank	4.0	(4.8k Reviews)	Public	Mumbai,Maharashtra + 362 more	4 years old	10k-50k Employees (India)
801	Dr. Reddy's	4.2	(4.8k Reviews)	Public	Hyderabad/Secunderabad,Telangana + 128 more	36 years old	10k-50k Employees (India)
802	Startek	3.5	(4.6k Reviews)	Public	Mumbai,Maharashtra + 50 more	5 years old	5k-10k Employees (India)
803	Mphasis	3.8	(4.6k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 41 more	24 years old	10k-50k Employees (India)
804	Sutherland Globa...	3.9	(4.9k Reviews)	Private	Pittsford,New York + 41 more	36 years old	10k-50k Employees (India)
805	Jana Small Finan...	3.9	(4.5k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 303 more	16 years old	10k-50k Employees (India)
806	Cipla Pharmaceut...	4.1	(4.6k Reviews)	Public	Mumbai,Maharashtra + 185 more	87 years old	10k-50k Employees (India)
807	Yes Bank	4.0	(4.4k Reviews)	Public	Mumbai,Maharashtra + 353 more	18 years old	10k-50k Employees (India)
808	ICICI Prudential...	4.1	(4.3k Reviews)	Public	Mumbai,Maharashtra + 398 more	22 years old	10k-50k Employees (India)
809	Asian Paints	4.3	(4.5k Reviews)	Public	Mumbai,Maharashtra + 331 more	80 years old	10k-50k Employees (India)
810	HCL Group	3.9	(22.6k Reviews)	Chennai + 69 more	50k-1 Lakh Employees (India)		
811	NTT DATA	4.0	(4.5k Reviews)	Private	Chiyoda City,Tokyo + 38 more	34 years old	10k-50k Employees (India)
812	Zydus Cadila	4.1	(5.3k Reviews)	Public	Ahmedabad, India + 134 more	70 years old	5k-10k Employees (India)
